id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	71.357885906	2.973245246	0	0	24	24	2.973245246	-2.973245246	480	480	1.000000000	24	11	0.458333333	480	255	0.531250000	480	9488.410391304	9488.113066780	456	418	0.916666667
case_001	18	24	11.173973054	0.465582211	1	10	24	24	0.465582211	-0.465582211	480	478	0.995833333	24	20	0.833333333	478	300	0.627615063	478	9485.261220335	9485.214467309	454	448	0.986784141
case_002	19	24	20.831335585	0.867972316	0	0	24	24	0.867972316	-0.867972316	480	478	0.995833333	24	17	0.708333333	478	312	0.652719665	478	9485.589588847	9485.502428447	454	433	0.953744493
case_003	19	24	19.713085219	0.821378551	0	0	24	24	0.821378551	-0.821378551	480	479	0.997916667	24	17	0.708333333	479	280	0.584551148	479	9486.912776018	9486.830466686	455	442	0.971428571
case_004	15	24	23.014081834	0.958920076	1	1	24	24	0.958920076	-0.958920076	480	479	0.997916667	24	15	0.625000000	479	259	0.540709812	479	9475.855389136	9475.759296936	473	455	0.961945032
case_005	14	24	20.950014428	0.872917268	1	9	24	24	0.872917268	-0.872917268	480	477	0.993750000	24	18	0.750000000	477	303	0.635220126	477	9484.683106955	9484.595266224	453	441	0.973509934
case_006	18	24	18.768924150	0.782038506	1	1	24	24	0.782038506	-0.782038506	480	478	0.995833333	24	15	0.625000000	478	258	0.539748954	478	9484.728413459	9484.649882396	454	438	0.964757709
case_007	14	24	37.877495811	1.578228992	1	7	24	24	1.578228992	-1.578228992	480	480	1.000000000	24	12	0.500000000	480	252	0.525000000	480	9470.082353357	9469.924530458	474	441	0.930379747
case_008	20	24	13.679651323	0.569985472	0	0	24	24	0.569985472	-0.569985472	480	480	1.000000000	24	19	0.791666667	480	279	0.581250000	480	9487.504898607	9487.447900060	456	446	0.978070175
case_009	17	24	8.937594570	0.372399774	1	9	24	24	0.372399774	-0.372399774	480	475	0.989583333	24	21	0.875000000	475	290	0.610526316	475	9482.119775890	9482.082143913	451	444	0.984478936
case_010	26	24	28.022382251	1.167599260	0	0	24	24	1.167599260	-1.167599260	480	477	0.993750000	24	18	0.750000000	477	254	0.532494759	477	9483.617641497	9483.500147232	453	437	0.964679912
case_011	21	24	10.296882513	0.429036771	1	13	24	24	0.429036771	-0.429036771	480	479	0.997916667	24	21	0.875000000	479	280	0.584551148	479	9483.746145321	9483.703152075	455	451	0.991208791
case_012	22	24	42.907023762	1.787792657	0	0	24	24	1.787792657	-1.787792657	480	480	1.000000000	24	15	0.625000000	480	276	0.575000000	480	9487.293414002	9487.114634736	456	422	0.925438596
