id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	58.901877763	2.454244907	0	0	24	24	2.454244907	-2.454244907	480	480	1.000000000	24	11	0.458333333	480	246	0.512500000	480	9488.077800227	9487.832375736	456	424	0.929824561
case_001	18	24	18.178026972	0.757417790	1	15	24	24	0.757417790	-0.757417790	480	478	0.995833333	24	20	0.833333333	478	288	0.602510460	478	9485.269174186	9485.193115496	454	447	0.984581498
case_002	19	24	17.828518141	0.742854923	0	0	24	24	0.742854923	-0.742854923	480	478	0.995833333	24	16	0.666666667	478	302	0.631799163	478	9485.561877250	9485.487280939	454	431	0.949339207
case_003	19	24	13.789816399	0.574575683	0	0	24	24	0.574575683	-0.574575683	480	479	0.997916667	24	19	0.791666667	479	288	0.601252610	479	9486.713077504	9486.655499982	455	445	0.978021978
case_004	15	24	15.258532821	0.635772201	1	3	24	24	0.635772201	-0.635772201	480	479	0.997916667	24	19	0.791666667	479	269	0.561586639	479	9473.854646421	9473.790936471	473	464	0.980972516
case_005	14	24	28.211532685	1.175480529	1	14	24	24	1.175480529	-1.175480529	480	477	0.993750000	24	18	0.750000000	477	299	0.626834382	477	9483.529956840	9483.411669491	453	438	0.966887417
case_006	18	24	24.241758007	1.010073250	1	1	24	24	1.010073250	-1.010073250	480	478	0.995833333	24	16	0.666666667	478	256	0.535564854	478	9483.766729346	9483.665299396	454	438	0.964757709
case_007	14	24	44.622439686	1.859268320	1	7	24	24	1.859268320	-1.859268320	480	480	1.000000000	24	13	0.541666667	480	250	0.520833333	480	9469.839348291	9469.653421459	474	438	0.924050633
case_008	20	24	13.482819485	0.561784145	0	0	24	24	0.561784145	-0.561784145	480	480	1.000000000	24	20	0.833333333	480	290	0.604166667	480	9487.654326457	9487.598148043	456	448	0.982456140
case_009	17	24	16.781220840	0.699217535	1	14	24	24	0.699217535	-0.699217535	480	475	0.989583333	24	21	0.875000000	475	257	0.541052632	475	9480.703496704	9480.632838932	451	438	0.971175166
case_010	26	24	23.074098217	0.961420759	0	0	24	24	0.961420759	-0.961420759	480	477	0.993750000	24	17	0.708333333	477	252	0.528301887	477	9483.484053305	9483.387306562	453	435	0.960264901
case_011	21	24	11.230474764	0.467936449	1	13	24	24	0.467936449	-0.467936449	480	479	0.997916667	24	21	0.875000000	479	280	0.584551148	479	9484.926017354	9484.879126019	455	450	0.989010989
case_012	22	24	35.752944536	1.489706022	0	0	24	24	1.489706022	-1.489706022	480	480	1.000000000	24	14	0.583333333	480	283	0.589583333	480	9486.719099467	9486.570128865	456	422	0.925438596
case_013	22	24	17.734097560	0.738920732	0	0	24	24	0.738920732	-0.738920732	480	480	1.000000000	24	20	0.833333333	480	294	0.612500000	480	9485.442516294	9485.368624221	456	445	0.975877193
