id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	20.498016149	0.854084006	0	0	24	24	0.854084006	-0.854084006	480	480	1.000000000	24	16	0.666666667	480	334	0.695833333	480	9488.118431212	9488.033022812	456	443	0.971491228
case_001	18	24	5.173375673	0.215557320	1	1	24	24	0.215557320	-0.215557320	480	478	0.995833333	24	22	0.916666667	478	363	0.759414226	478	9483.416492534	9483.394846611	454	452	0.995594714
case_002	19	24	16.406223650	0.683592652	0	0	24	24	0.683592652	-0.683592652	480	478	0.995833333	24	18	0.750000000	478	372	0.778242678	478	9484.581748104	9484.513102816	454	440	0.969162996
case_003	19	24	15.367144592	0.640297691	0	0	24	24	0.640297691	-0.640297691	480	479	0.997916667	24	19	0.791666667	479	321	0.670146138	479	9485.474509629	9485.410346186	455	446	0.980219780
case_004	15	24	13.468653054	0.561193877	1	3	24	24	0.561193877	-0.561193877	480	479	0.997916667	24	20	0.833333333	479	336	0.701461378	479	9473.598720264	9473.542483717	473	467	0.987315011
case_005	14	24	14.775820263	0.615659178	1	14	24	24	0.615659178	-0.615659178	480	477	0.993750000	24	19	0.791666667	477	372	0.779874214	477	9482.976213364	9482.914260239	453	446	0.984547461
case_006	18	24	5.728972528	0.238707189	1	1	24	24	0.238707189	-0.238707189	480	478	0.995833333	24	22	0.916666667	478	349	0.730125523	478	9484.175511041	9484.151540445	454	452	0.995594714
case_007	14	24	21.666134894	0.902755621	1	9	24	24	0.902755621	-0.902755621	480	480	1.000000000	24	16	0.666666667	480	343	0.714583333	480	9470.146315501	9470.056039938	474	461	0.972573840
case_008	20	24	7.918421156	0.329934215	0	0	24	24	0.329934215	-0.329934215	480	480	1.000000000	24	21	0.875000000	480	354	0.737500000	480	9487.999051462	9487.966058040	456	451	0.989035088
case_009	17	24	3.129637589	0.130401566	1	14	24	24	0.130401566	-0.130401566	480	475	0.989583333	24	23	0.958333333	475	352	0.741052632	475	9481.270893002	9481.257715581	451	449	0.995565410
case_010	26	24	8.483825862	0.353492744	0	0	24	24	0.353492744	-0.353492744	480	477	0.993750000	24	20	0.833333333	477	349	0.731656184	477	9479.878715269	9479.843143672	453	447	0.986754967
case_011	21	24	3.033049224	0.126377051	1	16	24	24	0.126377051	-0.126377051	480	479	0.997916667	24	22	0.916666667	479	360	0.751565762	479	9485.316098664	9485.303434576	455	453	0.995604396
case_012	22	24	23.065617849	0.961067410	0	0	24	24	0.961067410	-0.961067410	480	480	1.000000000	24	18	0.750000000	480	352	0.733333333	480	9485.488294261	9485.392187520	456	444	0.973684211
case_013	22	24	10.211594987	0.425483124	0	0	24	24	0.425483124	-0.425483124	480	480	1.000000000	24	22	0.916666667	480	353	0.735416667	480	9485.096356442	9485.053808130	456	450	0.986842105
case_014	21	24	11.983936888	0.499330704	0	0	24	24	0.499330704	-0.499330704	480	479	0.997916667	24	19	0.791666667	479	360	0.751565762	479	9485.823898226	9485.773860912	455	448	0.984615385
case_015	22	24	18.393821280	0.766409220	0	0	24	24	0.766409220	-0.766409220	480	480	1.000000000	24	20	0.833333333	480	373	0.777083333	480	9487.070549167	9486.993908245	456	436	0.956140351
case_016	19	24	31.717401217	1.321558384	1	1	24	24	1.321558384	-1.321558384	480	479	0.997916667	24	15	0.625000000	479	332	0.693110647	479	9477.308742661	9477.176310923	473	443	0.936575053
case_017	26	24	12.556543252	0.523189302	1	1	24	24	0.523189302	-0.523189302	480	480	1.000000000	24	19	0.791666667	480	338	0.704166667	480	9484.479242335	9484.426923404	456	451	0.989035088
