id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	34.914447178	1.454768632	0	0	24	24	1.454768632	-1.454768632	480	480	1.000000000	24	13	0.541666667	480	282	0.587500000	480	9488.282622463	9488.137145600	456	433	0.949561404
case_001	18	24	4.450557219	0.185439884	1	17	24	24	0.185439884	-0.185439884	480	478	0.995833333	24	22	0.916666667	478	328	0.686192469	478	9482.575536877	9482.556915299	454	452	0.995594714
case_002	19	24	18.009603845	0.750400160	0	0	24	24	0.750400160	-0.750400160	480	478	0.995833333	24	17	0.708333333	478	368	0.769874477	478	9484.584816474	9484.509462483	454	438	0.964757709
case_003	19	24	15.885369187	0.661890383	0	0	24	24	0.661890383	-0.661890383	480	479	0.997916667	24	20	0.833333333	479	324	0.676409186	479	9485.583383606	9485.517056386	455	447	0.982417582
case_004	15	24	18.640613968	0.776692249	0	0	24	24	0.776692249	-0.776692249	480	479	0.997916667	24	16	0.666666667	479	303	0.632567850	479	9476.771357685	9476.693526312	473	453	0.957716702
case_005	14	24	14.821442258	0.617560094	1	14	24	24	0.617560094	-0.617560094	480	477	0.993750000	24	21	0.875000000	477	349	0.731656184	477	9484.590411274	9484.528266862	453	448	0.988962472
case_006	18	24	11.002677212	0.458444884	0	0	24	24	0.458444884	-0.458444884	480	478	0.995833333	24	19	0.791666667	478	318	0.665271967	478	9484.983258231	9484.937221925	454	447	0.984581498
case_007	14	24	30.041638368	1.251734932	0	0	24	24	1.251734932	-1.251734932	480	480	1.000000000	24	16	0.666666667	480	308	0.641666667	480	9471.040939949	9470.915766456	474	451	0.951476793
case_008	20	24	7.796545614	0.324856067	0	0	24	24	0.324856067	-0.324856067	480	480	1.000000000	24	21	0.875000000	480	355	0.739583333	480	9487.845601370	9487.813115763	456	452	0.991228070
case_009	17	24	3.072902860	0.128037619	1	24	24	24	0.128037619	-0.128037619	480	475	0.989583333	24	24	1.000000000	475	324	0.682105263	475	9482.604515271	9482.591576733	451	451	1.000000000
case_010	26	24	9.471568269	0.394648678	0	0	24	24	0.394648678	-0.394648678	480	477	0.993750000	24	19	0.791666667	477	346	0.725366876	477	9480.427338222	9480.387625148	453	445	0.982339956
case_011	21	24	2.665452259	0.111060511	1	16	24	24	0.111060511	-0.111060511	480	479	0.997916667	24	23	0.958333333	479	359	0.749478079	479	9485.405757946	9485.394628709	455	454	0.997802198
case_012	22	24	21.233673258	0.884736386	0	0	24	24	0.884736386	-0.884736386	480	480	1.000000000	24	18	0.750000000	480	352	0.733333333	480	9485.515077519	9485.426603881	456	443	0.971491228
case_013	22	24	10.243480076	0.426811670	0	0	24	24	0.426811670	-0.426811670	480	480	1.000000000	24	22	0.916666667	480	349	0.727083333	480	9485.167869207	9485.125188040	456	450	0.986842105
case_014	21	24	11.486450925	0.478602122	0	0	24	24	0.478602122	-0.478602122	480	479	0.997916667	24	19	0.791666667	479	365	0.762004175	479	9485.942731707	9485.894771578	455	448	0.984615385
case_015	22	24	18.438540118	0.768272505	0	0	24	24	0.768272505	-0.768272505	480	480	1.000000000	24	20	0.833333333	480	373	0.777083333	480	9487.076061977	9486.999234726	456	438	0.960526316
case_016	19	24	32.228437733	1.342851572	1	1	24	24	1.342851572	-1.342851572	480	479	0.997916667	24	15	0.625000000	479	328	0.684759916	479	9477.256099628	9477.121534126	473	441	0.932346723
case_017	26	24	10.792528704	0.449688696	1	12	24	24	0.449688696	-0.449688696	480	480	1.000000000	24	20	0.833333333	480	340	0.708333333	480	9484.671197696	9484.626228826	456	452	0.991228070
case_018	25	24	8.807871739	0.366994656	1	1	24	24	0.366994656	-0.366994656	480	479	0.997916667	24	22	0.916666667	479	358	0.747390397	479	9485.136357006	9485.099580924	455	450	0.989010989
