id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	25.518681543	1.063278398	0	0	24	24	1.063278398	-1.063278398	480	480	1.000000000	24	18	0.750000000	480	315	0.656250000	480	9488.847334478	9488.741006638	456	440	0.964912281
case_001	18	24	8.951661764	0.372985907	0	0	24	24	0.372985907	-0.372985907	480	478	0.995833333	24	20	0.833333333	478	334	0.698744770	478	9483.593958944	9483.556504292	454	450	0.991189427
case_002	19	24	18.688220658	0.778675861	0	0	24	24	0.778675861	-0.778675861	480	478	0.995833333	24	17	0.708333333	478	362	0.757322176	478	9484.482669367	9484.404475975	454	437	0.962555066
case_003	19	24	18.173629654	0.757234569	0	0	24	24	0.757234569	-0.757234569	480	479	0.997916667	24	19	0.791666667	479	321	0.670146138	479	9485.147133710	9485.071252167	455	445	0.978021978
case_004	15	24	13.598255701	0.566593988	0	0	24	24	0.566593988	-0.566593988	480	479	0.997916667	24	19	0.791666667	479	313	0.653444676	479	9476.134924610	9476.078146924	473	465	0.983086681
case_005	14	24	19.601672412	0.816736350	0	0	24	24	0.816736350	-0.816736350	480	477	0.993750000	24	16	0.666666667	477	344	0.721174004	477	9484.346895436	9484.264708131	453	441	0.973509934
case_006	18	24	10.402046844	0.433418618	0	0	24	24	0.433418618	-0.433418618	480	478	0.995833333	24	20	0.833333333	478	317	0.663179916	478	9485.401367274	9485.357844065	454	450	0.991189427
case_007	14	24	28.757876616	1.198244859	0	0	24	24	1.198244859	-1.198244859	480	480	1.000000000	24	15	0.625000000	480	297	0.618750000	480	9470.921969926	9470.802145440	474	456	0.962025316
case_008	20	24	7.947509079	0.331146212	0	0	24	24	0.331146212	-0.331146212	480	480	1.000000000	24	21	0.875000000	480	351	0.731250000	480	9487.644652996	9487.611538375	456	452	0.991228070
case_009	17	24	6.604950728	0.275206280	0	0	24	24	0.275206280	-0.275206280	480	475	0.989583333	24	22	0.916666667	475	330	0.694736842	475	9481.883127920	9481.855317601	451	449	0.995565410
case_010	26	24	12.739049732	0.530793739	0	0	24	24	0.530793739	-0.530793739	480	477	0.993750000	24	20	0.833333333	477	334	0.700209644	477	9480.060652162	9480.007238956	453	446	0.984547461
case_011	21	24	2.750207184	0.114591966	1	16	24	24	0.114591966	-0.114591966	480	479	0.997916667	24	23	0.958333333	479	353	0.736951983	479	9485.103459894	9485.091976774	455	454	0.997802198
case_012	22	24	19.825050911	0.826043788	0	0	24	24	0.826043788	-0.826043788	480	480	1.000000000	24	18	0.750000000	480	337	0.702083333	480	9486.457438559	9486.374834181	456	443	0.971491228
case_013	22	24	7.540396735	0.314183197	0	0	24	24	0.314183197	-0.314183197	480	480	1.000000000	24	22	0.916666667	480	343	0.714583333	480	9485.217192610	9485.185774291	456	453	0.993421053
case_014	21	24	12.746688335	0.531112014	0	0	24	24	0.531112014	-0.531112014	480	479	0.997916667	24	19	0.791666667	479	350	0.730688935	479	9486.009538792	9485.956316712	455	447	0.982417582
case_015	22	24	18.298985507	0.762457729	0	0	24	24	0.762457729	-0.762457729	480	480	1.000000000	24	19	0.791666667	480	354	0.737500000	480	9486.773177343	9486.696931570	456	440	0.964912281
case_016	19	24	25.058772247	1.044115510	1	1	24	24	1.044115510	-1.044115510	480	479	0.997916667	24	16	0.666666667	479	326	0.680584551	479	9477.576449496	9477.471819967	473	449	0.949260042
case_017	26	24	12.926834912	0.538618121	1	1	24	24	0.538618121	-0.538618121	480	480	1.000000000	24	19	0.791666667	480	330	0.687500000	480	9484.231035540	9484.177173728	456	451	0.989035088
case_018	25	24	8.571631732	0.357151322	1	1	24	24	0.357151322	-0.357151322	480	479	0.997916667	24	23	0.958333333	479	352	0.734864301	479	9486.108763720	9486.072974025	455	452	0.993406593
case_019	19	24	23.148283457	0.964511811	0	0	24	24	0.964511811	-0.964511811	480	478	0.995833333	24	18	0.750000000	478	309	0.646443515	478	9480.707483168	9480.610628425	472	459	0.972457627
case_020	18	24	12.400077194	0.516669883	0	0	24	24	0.516669883	-0.516669883	480	480	1.000000000	24	21	0.875000000	480	324	0.675000000	480	9473.389848642	9473.338181654	474	471	0.993670886
