id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	14.646022774	0.610250949	0	0	24	24	0.610250949	-0.610250949	480	480	1.000000000	24	17	0.708333333	480	354	0.737500000	480	9487.965873942	9487.904848847	456	446	0.978070175
case_001	18	24	3.713303691	0.154720987	1	19	24	24	0.154720987	-0.154720987	480	478	0.995833333	24	23	0.958333333	478	365	0.763598326	478	9483.475387054	9483.459850219	454	453	0.997797357
case_002	19	24	13.081044152	0.545043506	0	0	24	24	0.545043506	-0.545043506	480	478	0.995833333	24	20	0.833333333	478	372	0.778242678	478	9483.705563820	9483.650831418	454	447	0.984581498
case_003	19	24	17.077566657	0.711565277	0	0	24	24	0.711565277	-0.711565277	480	479	0.997916667	24	20	0.833333333	479	339	0.707724426	479	9485.404239861	9485.332934781	455	447	0.982417582
case_004	15	24	9.347271099	0.389469629	1	9	24	24	0.389469629	-0.389469629	480	479	0.997916667	24	21	0.875000000	479	348	0.726513570	479	9474.092050074	9474.053021802	473	466	0.985200846
case_005	14	24	14.081029617	0.586709567	1	14	24	24	0.586709567	-0.586709567	480	477	0.993750000	24	19	0.791666667	477	381	0.798742138	477	9482.451318835	9482.392278879	453	447	0.986754967
case_006	18	24	4.970893644	0.207120568	1	23	24	24	0.207120568	-0.207120568	480	478	0.995833333	24	23	0.958333333	478	370	0.774058577	478	9483.461579148	9483.440780429	454	453	0.997797357
case_007	14	24	19.008859656	0.792035819	1	10	24	24	0.792035819	-0.792035819	480	480	1.000000000	24	17	0.708333333	480	353	0.735416667	480	9470.392836921	9470.313633339	474	463	0.976793249
case_008	20	24	6.837640157	0.284901673	0	0	24	24	0.284901673	-0.284901673	480	480	1.000000000	24	21	0.875000000	480	364	0.758333333	480	9487.370018751	9487.341528584	456	452	0.991228070
case_009	17	24	3.450941579	0.143789232	1	14	24	24	0.143789232	-0.143789232	480	475	0.989583333	24	23	0.958333333	475	366	0.770526316	475	9480.828772765	9480.814242485	451	450	0.997782705
case_010	26	24	10.505064919	0.437711038	0	0	24	24	0.437711038	-0.437711038	480	477	0.993750000	24	20	0.833333333	477	355	0.744234801	477	9479.616464332	9479.572417938	453	443	0.977924945
