id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	20.871151611	0.869631317	0	0	24	24	0.869631317	-0.869631317	480	480	1.000000000	24	18	0.750000000	480	355	0.739583333	480	9487.337830068	9487.250866937	456	445	0.975877193
case_001	18	24	5.202907519	0.216787813	0	0	24	24	0.216787813	-0.216787813	480	478	0.995833333	24	20	0.833333333	478	368	0.769874477	478	9482.917237578	9482.895468091	454	450	0.991189427
case_002	19	24	9.806061994	0.408585916	1	3	24	24	0.408585916	-0.408585916	480	478	0.995833333	24	20	0.833333333	478	389	0.813807531	478	9484.599859423	9484.558829875	454	448	0.986784141
case_003	19	24	15.410506142	0.642104423	0	0	24	24	0.642104423	-0.642104423	480	479	0.997916667	24	20	0.833333333	479	338	0.705636743	479	9484.931392592	9484.867048098	455	446	0.980219780
case_004	15	24	6.958721441	0.289946727	1	3	24	24	0.289946727	-0.289946727	480	479	0.997916667	24	19	0.791666667	479	367	0.766179541	479	9472.716648836	9472.687593632	473	467	0.987315011
case_005	14	24	11.983704690	0.499321029	1	14	24	24	0.499321029	-0.499321029	480	477	0.993750000	24	21	0.875000000	477	389	0.815513627	477	9482.593240301	9482.542994160	453	449	0.991169978
case_006	18	24	4.870172712	0.202923863	1	14	24	24	0.202923863	-0.202923863	480	478	0.995833333	24	22	0.916666667	478	373	0.780334728	478	9483.784165631	9483.763788339	454	452	0.995594714
case_007	14	24	17.065679815	0.711069992	1	10	24	24	0.711069992	-0.711069992	480	480	1.000000000	24	18	0.750000000	480	355	0.739583333	480	9470.730496295	9470.659389296	474	462	0.974683544
case_008	20	24	5.800355012	0.241681459	0	0	24	24	0.241681459	-0.241681459	480	480	1.000000000	24	21	0.875000000	480	363	0.756250000	480	9487.187567862	9487.163399716	456	452	0.991228070
case_009	17	24	2.467880137	0.102828339	1	14	24	24	0.102828339	-0.102828339	480	475	0.989583333	24	23	0.958333333	475	367	0.772631579	475	9479.751025089	9479.740634015	451	450	0.997782705
case_010	26	24	8.587449668	0.357810403	1	1	24	24	0.357810403	-0.357810403	480	477	0.993750000	24	21	0.875000000	477	362	0.758909853	477	9479.595399065	9479.559392987	453	446	0.984547461
case_011	21	24	2.575225587	0.107301066	0	0	24	24	0.107301066	-0.107301066	480	479	0.997916667	24	22	0.916666667	479	386	0.805845511	479	9484.866571722	9484.855819214	455	453	0.995604396
case_012	22	24	14.067894920	0.586162288	0	0	24	24	0.586162288	-0.586162288	480	480	1.000000000	24	20	0.833333333	480	363	0.756250000	480	9484.521212308	9484.462596079	456	447	0.980263158
case_013	22	24	4.004083368	0.166836807	1	1	24	24	0.166836807	-0.166836807	480	480	1.000000000	24	23	0.958333333	480	366	0.762500000	480	9485.711158625	9485.694474945	456	455	0.997807018
case_014	21	24	6.887084199	0.286961842	1	16	24	24	0.286961842	-0.286961842	480	479	0.997916667	24	22	0.916666667	479	375	0.782881002	479	9485.513936336	9485.485180244	455	452	0.993406593
case_015	22	24	14.409975239	0.600415635	0	0	24	24	0.600415635	-0.600415635	480	480	1.000000000	24	20	0.833333333	480	384	0.800000000	480	9486.911479826	9486.851438262	456	449	0.984649123
case_016	19	24	28.648399368	1.193683307	1	1	24	24	1.193683307	-1.193683307	480	479	0.997916667	24	15	0.625000000	479	344	0.718162839	479	9477.494306336	9477.374688802	473	448	0.947145877
case_017	26	24	11.178511906	0.465771329	0	0	24	24	0.465771329	-0.465771329	480	480	1.000000000	24	18	0.750000000	480	356	0.741666667	480	9485.019749190	9484.973172057	456	449	0.984649123
case_018	25	24	7.780359335	0.324181639	1	1	24	24	0.324181639	-0.324181639	480	479	0.997916667	24	22	0.916666667	479	369	0.770354906	479	9484.670627456	9484.638141613	455	452	0.993406593
